INSTNM,SCH_DEG,PREDDEG,CONTROL,CCBASIC,ADM_RATE,ACTCM25,ACTCM75,ACTMTMID,ACTWRMID,SAT_AVG,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,labels
Baptist Health Sciences University,3.0,3.0,2.0,26.0,0.693,19.0,23.0,18.0,7.74,1082.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Belmont University,3.0,3.0,2.0,17.0,0.8323,23.0,30.0,24.0,7.74,1244.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Bethel University,3.0,3.0,2.0,18.0,0.7612,16.0,21.0,18.0,7.0,998.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Bryan College-Dayton,3.0,3.0,2.0,20.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Carson-Newman University,3.0,3.0,2.0,17.0,0.7932,19.0,25.0,21.0,7.74,1107.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Chattanooga State Community College,2.0,2.0,1.0,4.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,5607.0,6153.0,7930.0,10502.0,11124.0,2
Christian Brothers University,3.0,3.0,2.0,18.0,0.4994,21.0,27.0,23.0,7.74,1190.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Pentecostal Theological Seminary,1.0,1.0,2.0,24.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Austin's Beauty College Inc,1.0,1.0,3.0,-2.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Cleveland State Community College,1.0,1.0,1.0,2.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,6361.0,7223.0,9296.0,10353.0,9741.0,2
Columbia State Community College,2.0,2.0,1.0,1.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,5233.0,6089.0,7851.0,9379.0,15555.36963190184,2
Concorde Career College-Memphis,1.0,1.0,3.0,10.0,0.9715,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Tennessee College of Applied Technology-Covington,1.0,1.0,1.0,-2.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,6825.0,7481.0,8534.0,13810.511688311686,15555.36963190184,2
Cumberland University,3.0,3.0,2.0,19.0,0.5376,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
